iter	Passed	Remaining
618	26968	60168
619	27009	60118
620	27052	60073
621	27089	60014
622	27133	59972
623	27178	59932
624	27210	59864
625	27250	59812
626	27291	59762
627	27330	59709
628	27373	59665
629	27414	59615
630	27453	59561
631	27488	59500
632	27492	59372
633	27535	59326
634	27574	59273
635	27612	59218
636	27667	59200
637	27717	59172
638	27768	59143
639	27808	59092
640	27853	59052
641	27894	59003
642	27938	58962
643	27981	58918
644	28025	58876
645	28061	58816
646	28103	58768
647	28150	58733
648	28192	58688
649	28236	58645
650	28271	58583
651	28295	58501
652	28327	58433
653	28362	58373
654	28393	58303
655	28428	58242
656	28463	58183
657	28497	58120
658	28534	58064
659	28569	58004
660	28605	57946
661	28635	57876
662	28672	57819
663	28706	57759
664	28740	57696
665	28775	57637
666	28811	57579
667	28847	57522
668	28880	57457
669	28913	57394
670	28942	57325
671	28977	57264
672	29011	57204
673	29044	57140
674	29079	57081
675	29110	57014
676	29143	56953
677	29179	56896
678	29208	56825
679	29241	56763
680	29273	56698
681	29302	56627
682	29334	56565
683	29371	56510
684	29407	56453
685	29440	56392
686	29476	56335
687	29512	56278
688	29546	56219
689	29576	56153
690	29611	56095
691	29647	56038
692	29682	55981
693	29715	55919
694	29746	55855
695	29778	55792
696	29807	55722
697	29841	55663
698	29876	55607
699	29911	55549
700	29947	55494
701	29981	55435
702	30016	55379
703	30045	55311
704	30080	55253
705	30114	55195
706	30146	55133
707	30180	55074
708	30206	55002
709	30237	54938
710	30271	54880
711	30305	54823
712	30342	54769
713	30376	54711
714	30411	54656
715	30446	54600
716	30480	54541
717	30514	54483
718	30547	54424
719	30579	54362
720	30614	54307
721	30650	54254
722	30683	54194
723	30718	54138
724	30751	54079
725	30787	54026
726	30821	53970
727	30850	53903
728	30885	53848
729	30920	53792
730	30953	53734
731	30987	53678
732	31022	53622
733	31057	53568
734	31091	53511
735	31126	53456
736	31163	53404
737	31199	53351
738	31236	53300
739	31272	53248
740	31308	53194
741	31344	53141
742	31375	53080
743	31410	53025
744	31446	52973
745	31481	52919
746	31518	52867
747	31552	52811
748	31586	52755
749	31617	52695
750	31652	52641
751	31688	52589
752	31723	52536
753	31759	52483
754	31794	52430
755	31831	52379
756	31867	52326
757	31902	52273
758	31935	52215
759	31970	52162
760	32004	52106
761	32033	52043
762	32069	51991
763	32105	51940
764	32134	51877
765	32170	51826
766	32207	51774
767	32241	51720
768	32278	51671
769	32311	51613
770	32344	51557
771	32372	51494
772	32377	51393
773	32411	51339
774	32444	51283
775	32477	51227
776	32511	51172
777	32546	51120
778	32578	51062
779	32611	51007
780	32645	50953
781	32678	50898
782	32713	50845
783	32749	50795
784	32778	50734
785	32815	50684
786	32849	50630
787	32885	50580
788	32916	50522
789	32947	50464
790	32981	50410
791	33011	50350
792	33047	50300
793	33083	50249
794	33118	50199
795	33152	50145
796	33184	50089
797	33214	50029
798	33244	49971
799	33276	49914
800	33311	49863
801	33346	49812
802	33377	49754
803	33412	49702
804	33447	49651
805	33479	49595
806	33513	49543
807	33547	49490
808	33579	49435
809	33613	49382
810	33647	49329
811	33683	49280
812	33718	49229
813	33753	49179
814	33788	49128
815	33820	49073
816	33857	49024
817	33891	48972
818	33926	48922
819	33961	48871
820	33997	48821
821	34026	48763
822	34061	48712
823	34095	48661
824	34129	48609
825	34162	48555
826	34198	48506
827	34234	48456
828	34268	48405
829	34302	48354
830	34338	48305
831	34372	48253
832	34404	48199
833	34438	48148
834	34473	48098
835	34508	48047
836	34539	47992
837	34573	47941
838	34609	47891
839	34644	47842
840	34675	47787
841	34709	47736
842	34745	47687
843	34780	47637
844	34817	47590
845	34852	47541
846	34886	47489
847	34919	47438
848	34953	47386
849	34988	47337
850	35024	47289
851	35059	47239
852	35094	47190
853	35130	47142
854	35165	47093
855	35200	47044
856	35235	46994
857	35271	46946
858	35306	46897
859	35341	46848
860	35377	46800
861	35413	46752
862	35447	46702
863	35481	46651
864	35515	46600
865	35546	46547
866	35582	46499
867	35616	46449
868	35651	46400
869	35683	46347
870	35717	46297
871	35752	46249
872	35786	46199
873	35820	46148
874	35852	46095
875	35885	46045
876	35920	45996
877	35956	45949
878	35991	45900
879	36024	45849
880	36060	45802
881	36086	45742
882	36121	45694
883	36153	45641
884	36184	45588
885	36220	45541
886	36253	45490
887	36287	45440
888	36323	45394
889	36357	45345
890	36393	45298
891	36445	45270
892	36483	45225
893	36528	45190
894	36585	45169
895	36610	45109
896	36643	45059
897	36666	44996
898	36692	44936
899	36769	44940
900	36791	44876
901	36832	44835
902	36860	44779
903	36890	44725
904	36920	44671
905	36947	44613
906	36985	44570
907	37032	44536
908	37069	44491
909	37096	44434
910	37133	44389
911	37159	44330
912	37199	44289
913	37243	44252
914	37287	44215
915	37361	44213
916	37404	44175
917	37468	44162
918	37501	44112
919	37545	44075
920	37590	44038
921	37656	44028
922	37710	44001
923	37757	43968
924	37798	43927
925	37830	43876
926	37872	43836
927	37917	43801
928	37967	43771
929	38010	43732
930	38048	43688
931	38085	43642
932	38116	43591
933	38151	43543
934	38193	43504
935	38238	43467
936	38273	43420
937	38312	43376
938	38358	43342
939	38404	43306
940	38445	43266
941	38498	43238
942	38533	43191
943	38584	43162
944	38663	43164
945	38708	43127
946	38798	43141
947	38893	43160
948	38981	43170
949	39055	43166
950	39089	43117
951	39128	43074
952	39177	43041
953	39214	42996
954	39311	43016
955	39365	42988
956	39435	42979
957	39539	43006
958	39652	43043
959	39714	43024
960	39824	43057
961	39916	43069
962	40039	43116
963	40097	43092
964	40140	43052
965	40235	43068
966	40311	43062
967	40378	43048
968	40471	43061
969	40532	43039
970	40577	43001
971	40641	42983
972	40751	43012
973	40826	43006
974	40895	42992
975	40967	42982
976	41111	43047
977	41180	43033
978	41278	43049
979	41310	42996
980	41419	43023
981	41532	43054
982	41619	43059
983	41699	43056
984	41745	43016
985	41817	43005
986	41875	42978
987	41938	42957
988	41999	42933
989	42045	42894
990	42114	42879
991	42192	42873
992	42242	42838
993	42286	42797
994	42335	42761
995	42369	42710
996	42418	42674
997	42463	42633
998	42526	42611
999	42648	42648
1000	42706	42621
1001	42770	42600
1002	42870	42613
1003	42906	42565
1004	42943	42516
1005	42976	42463
1006	43006	42408
1007	43041	42358
1008	43081	42313
1009	43126	42272
1010	43162	42222
1011	43202	42178
1012	43234	42124
1013	43275	42080
1014	43314	42034
1015	43348	41983
1016	43395	41944
1017	43431	41896
1018	43470	41849
1019	43510	41804
1020	43548	41757
1021	43593	41716
1022	43632	41670
1023	43669	41622
1024	43719	41586
1025	43754	41536
1026	43798	41495
1027	43842	41453
1028	43887	41413
1029	43930	41371
1030	43966	41322
1031	44016	41286
1032	44052	41237
1033	44096	41196
1034	44147	41161
1035	44186	41115
1036	44231	41075
1037	44269	41028
1038	44310	40983
1039	44351	40940
1040	44389	40893
1041	44428	40847
1042	44462	40796
1043	44498	40747
1044	44537	40701
1045	44588	40666
1046	44621	40615
1047	44660	40569
1048	44700	40524
1049	44742	40481
1050	44786	40439
1051	44826	40395
1052	44865	40349
1053	44915	40312
1054	44953	40266
1055	44993	40221
1056	45040	40182
1057	45084	40140
1058	45126	40098
1059	45176	40062
1060	45216	40017
1061	45259	39975
1062	45295	39926
1063	45330	39877
1064	45368	39830
1065	45407	39784
1066	45448	39740
1067	45482	39690
1068	45523	39646
1069	45559	39598
1070	45606	39559
1071	45631	39501
1072	45654	39442
1073	45688	39392
1074	45723	39343
1075	45753	39290
1076	45788	39241
1077	45824	39192
1078	45854	39139
1079	45888	39090
1080	45924	39041
1081	45960	38994
1082	45991	38941
1083	46026	38893
1084	46060	38843
1085	46091	38791
1086	46127	38743
1087	46157	38690
1088	46188	38638
1089	46222	38589
1090	46259	38542
1091	46288	38488
1092	46324	38441
1093	46360	38393
1094	46398	38347
1095	46434	38299
1096	46465	38247
1097	46500	38199
1098	46536	38151
1099	46568	38101
1100	46602	38052
1101	46637	38004
1102	46673	37956
1103	46707	37907
1104	46742	37859
1105	46778	37811
1106	46814	37764
1107	46846	37713
1108	46880	37664
1109	46909	37612
1110	46940	37560
1111	46976	37513
1112	47009	37464
1113	47042	37414
1114	47078	37367
1115	47112	37318
1116	47147	37270
1117	47179	37220
